2026-01-12 08:36:36 | INFO     | PlexPosterHelper | _setup_logger:109 | ================================================================================
2026-01-12 08:36:36 | INFO     | PlexPosterHelper | _setup_logger:110 | NEW SESSION STARTED - 2026-01-12 08:36:36
2026-01-12 08:36:36 | INFO     | PlexPosterHelper | _setup_logger:111 | ================================================================================
2026-01-12 08:36:36 | INFO     | PlexPosterHelper | _setup_logger:109 | ================================================================================
2026-01-12 08:36:36 | INFO     | PlexPosterHelper | _setup_logger:110 | NEW SESSION STARTED - 2026-01-12 08:36:36
2026-01-12 08:36:36 | INFO     | PlexPosterHelper | _setup_logger:111 | ================================================================================
2026-01-12 08:36:36 | INFO     | PlexPosterHelper | info:148 | GUI Application initializing...
2026-01-12 08:36:37 | INFO     | PlexPosterHelper | info:148 | Loading labeled items from Plex...
2026-01-12 08:36:37 | INFO     | PlexPosterHelper | info:148 | Setting up Plex and scraper services...
2026-01-12 08:36:37 | DEBUG    | PlexPosterHelper | debug:144 | Config - Base URL: http://127.0.0.1:32400, Max Workers: 4
2026-01-12 08:36:37 | INFO     | PlexPosterHelper | info:148 | Services setup completed successfully
2026-01-12 08:36:37 | WARNING  | PlexPosterHelper | warning:152 | Plex setup incomplete - no libraries configured
2026-01-12 08:41:31 | INFO     | PlexPosterHelper | _setup_logger:109 | ================================================================================
2026-01-12 08:41:31 | INFO     | PlexPosterHelper | _setup_logger:110 | NEW SESSION STARTED - 2026-01-12 08:41:31
2026-01-12 08:41:31 | INFO     | PlexPosterHelper | _setup_logger:111 | ================================================================================
2026-01-12 08:41:32 | INFO     | PlexPosterHelper | _setup_logger:109 | ================================================================================
2026-01-12 08:41:32 | INFO     | PlexPosterHelper | _setup_logger:110 | NEW SESSION STARTED - 2026-01-12 08:41:32
2026-01-12 08:41:32 | INFO     | PlexPosterHelper | _setup_logger:111 | ================================================================================
2026-01-12 08:41:32 | INFO     | PlexPosterHelper | info:148 | GUI Application initializing...
2026-01-12 08:41:32 | INFO     | PlexPosterHelper | info:148 | Loading labeled items from Plex...
2026-01-12 08:41:32 | INFO     | PlexPosterHelper | info:148 | Setting up Plex and scraper services...
2026-01-12 08:41:32 | DEBUG    | PlexPosterHelper | debug:144 | Config - Base URL: http://127.0.0.1:32400, Max Workers: 4
2026-01-12 08:41:32 | INFO     | PlexPosterHelper | info:148 | Services setup completed successfully
2026-01-12 08:41:32 | WARNING  | PlexPosterHelper | warning:152 | Plex setup incomplete - no libraries configured
2026-01-12 08:41:38 | INFO     | PlexPosterHelper | _setup_logger:109 | ================================================================================
2026-01-12 08:41:38 | INFO     | PlexPosterHelper | _setup_logger:110 | NEW SESSION STARTED - 2026-01-12 08:41:38
2026-01-12 08:41:38 | INFO     | PlexPosterHelper | _setup_logger:111 | ================================================================================
2026-01-12 08:41:38 | INFO     | PlexPosterHelper | info:148 | Configuration saved and logger reconfigured
2026-01-12 08:41:38 | INFO     | PlexPosterHelper | info:148 | Plex config changed, reinitializing services...
2026-01-12 08:41:38 | INFO     | PlexPosterHelper | info:148 | Setting up Plex and scraper services...
2026-01-12 08:41:38 | DEBUG    | PlexPosterHelper | debug:144 | Config - Base URL: http://127.0.0.1:32400, Max Workers: 4
2026-01-12 08:41:38 | INFO     | PlexPosterHelper | info:148 | Services setup completed successfully
2026-01-12 08:41:38 | INFO     | PlexPosterHelper | info:148 | Services reinitialized successfully
2026-01-12 08:41:38 | INFO     | PlexPosterHelper | info:148 | GUI Status: Configuration saved successfully!
2026-01-12 08:41:38 | INFO     | PlexPosterHelper | info:148 | Loading labeled items from Plex...
2026-01-12 08:41:38 | INFO     | PlexPosterHelper | info:148 | Setting up Plex and scraper services...
2026-01-12 08:41:38 | DEBUG    | PlexPosterHelper | debug:144 | Config - Base URL: http://127.0.0.1:32400, Max Workers: 4
2026-01-12 08:41:38 | INFO     | PlexPosterHelper | info:148 | Services setup completed successfully
2026-01-12 08:41:38 | DEBUG    | PlexPosterHelper | debug:144 | Found 21 items with main label
2026-01-12 08:41:38 | DEBUG    | PlexPosterHelper | debug:144 | Found 18 MediUX items, 6 PosterDB items
2026-01-12 08:41:38 | INFO     | PlexPosterHelper | info:148 | Total labeled items after deduplication: 21
2026-01-12 08:42:45 | INFO     | PlexPosterHelper | _setup_logger:109 | ================================================================================
2026-01-12 08:42:45 | INFO     | PlexPosterHelper | _setup_logger:110 | NEW SESSION STARTED - 2026-01-12 08:42:45
2026-01-12 08:42:45 | INFO     | PlexPosterHelper | _setup_logger:111 | ================================================================================
